Using the result of 'hadoop classpath' to augment the Hadoop classpath: /usr/local/hadoop/etc/hadoop:/usr/local/hadoop/share/hadoop/common/lib/*:/usr/local/hadoop/share/hadoop/common/*:/usr/local/hadoop/share/hadoop/hdfs:/usr/local/hadoop/share/hadoop/hdfs/lib/*:/usr/local/hadoop/share/hadoop/hdfs/*:/usr/local/hadoop/share/hadoop/yarn:/usr/local/hadoop/share/hadoop/yarn/lib/*:/usr/local/hadoop/share/hadoop/yarn/*:/usr/local/hadoop/share/hadoop/mapreduce/lib/*:/usr/local/hadoop/share/hadoop/mapreduce/*:/usr/local/hadoop/contrib/capacity-scheduler/*.jar
Cluster configuration: Standalone cluster with JobManager at localhost/127.0.0.1:6123
Using address localhost:6123 to connect to JobManager.
JobManager web interface address http://localhost:8081
Starting execution of program
Submitting job with JobID: 75d4cb4c473ffb4dbc1124ebe1973139. Waiting for job completion.
Connected to JobManager at Actor[akka.tcp://flink@localhost:6123/user/jobmanager#1284012604] with leader session id 00000000-0000-0000-0000-000000000000.
05/22/2018 13:52:40	Job execution switched to status RUNNING.
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to SCHEDULED 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to DEPLOYING 
05/22/2018 13:52:40	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to RUNNING 
05/22/2018 13:52:40	CHAIN DataSource (at main(TopThreeAirports.java:24) (org.apache.flink.api.java.io.TupleCsvInputFormat)) -> Combine (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to SCHEDULED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to DEPLOYING 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to RUNNING 
05/22/2018 13:52:41	Reduce (Distinct at main(TopThreeAirports.java:28))(1/1) switched to FINISHED 
05/22/2018 13:52:41	DataSink (collect())(1/1) switched to FINISHED 
05/22/2018 13:52:41	Job execution switched to status FINISHED.
("Baton Rouge Metropolitan, Ryan ",Baton Rouge)
(Ulysses,Ulysses,KS)
(Umatilla Municipal,Umatilla,FL)
(Unalakleet,Unalakleet,AK)
(Unalaska,Unalaska,AK)
(Union County,Marysville,OH)
(University,Davis,CA)
(University Park,NA,NA)
(University Park,State College,PA)
(University of Illinois-Willard,Champaign/Urbana,IL)
(University of Oklahoma Westheimer,Norman,OK)
(University-Oxford,Oxford,MS)
(Upolu,Hawi,HI)
(Upper Cumberland Regional,Sparta,TN)
(Upshur County Regional,Buckhannon,WV)
(Vaiden ,Marion,AL)
(Valdez,Valdez,AK)
(Valdosta Regional,Valdosta,GA)
(Valier,Valier,MT)
(Valkaria,Valkaria,FL)
(Valley International,Harlingen,TX)
(Van Nuys,Van Nuys,CA)
(Van Wert County,Van Wert,OH)
(Vance Brand,Longmont,CO)
(Vandalia Municipal,Vandalia,IL)
(Vandenberg ,Tampa,FL)
(Vashon Municipal,Vashon,WA)
(Venetie,Venetie,AK)
(Venice Municipal,Venice,FL)
(Vermilion County,Danville,IL)
(Vernal,Vernal,UT)
(Vernon - Wilbarger County,Vernon,TX)
(Vero Beach Municipal,Vero Beach,FL)
(Vicksburg Tallulah Regional,Tallulah,LA)
(Victoria Regional,Victoria,TX)
(Vidalia Municipal,Vidalia,GA)
(Vinita Municipal,Vinita,OK)
(Vinton County,McArthur,OH)
(Vinton Veterans Memorial Airpark,Vinton,IA)
(Virgil I Grissom Municipal,Bedford,IN)
(Virginia Highlands,Abingdon,VA)
(Virginia Tech,Blacksburg,VA)
(Viroqua Municipal,Viroqua,WI)
(Visalia Municipal,Visalia,CA)
(Vivian,Vivian,LA)
(W K Kellogg Regional,Battle Creek,MI)
(Wabash Municipal,Wabash,IN)
(Waco Regional,Waco,TX)
(Wadena Municipal ,Wadena,MN)
(Wadsworth Municipal,Wadsworth,OH)
(Wagner Municipal,Wagner,SD)
(Wahoo Municipal,Wahoo,NE)
(Waimea-Kohala,Kamuela,HI)
(Wainwright,Wainwright,AK)
(Waldron Municipal,Waldron,AR)
(Wales,Wales,AK)
(Walhalla Municipal,Walhalla,ND)
(Walker ,Grand Junction,CO)
(Walker County,Jasper,AL)
(Wall Municipal,Wall,SD)
(Walla Walla Regional,Walla Walla,WA)
(Wallkill,Wallkill,NY)
(Walnut Ridge Regional,Walnut Ridge,AR)
(Walterboro Municipal,Walterboro,SC)
(Walters Municipal,Walters,OK)
(Warren,Warren,OH)
(Warren ,Washington,NC)
(Warren County Memorial,McMinnville,TN)
(Warren Municipal,Warren,AR)
(Warren-Sugar Bush,Warren,VT)
(Warrenton-Fauquier,Warrenton,VA)
(Warroad Intl Swede Carlson ,Warroad,MN)
(Warsaw Municipal,Warsaw,IN)
(Warsaw Municipal,Warsaw,MO)
(Warwick Muni,Warwick,NY)
(Wasco State,Wasco,OR)
(Wasco-Kern County,Wasco,CA)
(Waseca Municipal,Waseca,MN)
(Washburn Municipal,Washburn,ND)
(Washington County,Washington,PA)
(Washington Dulles International,Chantilly,VA)
(Washington Island,Washington Island,WI)
(Washington Memorial,Washington,MO)
(Washington Municipal,Washington,IA)
(Washington-Wilkes County,Washington,GA)
(Wasilla,Wasilla,AK)
(Water Valley ,Water Valley,MS)
(Waterbury-Oxford,Oxford,CT)
(Waterloo Municipal,Waterloo,IA)
(Watertown Intl,Watertown,NY)
(Watertown Municipal,Watertown,SD)
(Watertown Municipal,Watertown,WI)
(Waterville-Robert Lafleur,Waterville,ME)
(Watford City Municipal,Watford City,ND)
(Watonga,Watonga,OK)
(Watson Island Base,Miami,FL)
(Watsonville Municipal,Watsonville,CA)
(Watts-Woodland,Woodland,CA)
(Wauchula Municipal,Wauchula,FL)
(Waukegan Regional,Chicago/Waukegan,IL)
(Waukesha County,Waukesha,WI)
(Waupaca Municipal,Waupaca,WI)
(Wausau Municipal,Wausau,WI)
(Wautoma Municipal,Wautoma,WI)
(Waverly Municipal,Waverly,IA)
(Waycross-Ware County,Waycross,GA)
(Wayne County,Monticello,KY)
(Wayne County,Wooster,OH)
(Wayne Municipal,Wayne,NE)
(Wayne Wonderland,Loa,UT)
(Waynesboro Municipal,Waynesboro,MS)
(Waynoka Municipal,Waynoka,OK)
(Webster City Municipal,Webster City,IA)
(Webster Municipal,Webster,SD)
(Weed,Weed,CA)
(Weedon ,Eufaula,AL)
(Weiser Municipal,Weiser,ID)
(Welch Muni,Welch,WV)
(Wellington Municipal,Wellington,KS)
(Wells Municipal/Harriet ,Wells,NV)
(Wellsville Muni Tarantine,Wellsville,NY)
(Wendell H. Ford,Hazard,KY)
(Wendover,Wendover,UT)
(West Bend Municipal,West Bend,WI)
(West Branch Community,West Branch,MI)
(West Georgia Regional,Carrollton,GA)
(West Houston,Houston,TX)
(West Liberty,West Liberty,KY)
(West Memphis Municipal,West Memphis,AR)
(West Penn,Tarentum,PA)
(West Plains Municipal,West Plains,MO)
(West Tinian,Peipeinimaru,CQ)
(West Woodward,Woodward,OK)
(Westchester Cty,White Plains,NY)
(Westerly State,Westerly,RI)
(Westover AFB,Chicopee,MA)
(Westover Field Amador County,Jackson,CA)
(Westport ,"Westport, NY")
(Wetumpka Municipal,Wetumpka,AL)
(Wexford County,Cadillac,MI)
(Wharton Municipal,Wharton,TX)
(Wheatland County  At Harlowton,Harlowton,MT)
(Wheaton Municipal,Wheaton,MN)
(Wheeling-Ohio Cty,Wheeling,WV)
(Whidbey Air Park,Langley,WA)
(White Cloud,White Cloud,MI)
(White County,Monticello,IN)
(White Mountain,White Mountain,AK)
(White Sulphur Springs,White Sulphur Springs,MT)
(Whiteman,Los Angeles,CA)
(Whiteriver,Whiteriver,AZ)
(Whiteside Co ,Sterling Rockfalls,IL)
(Whitford,Weedsport,NY)
(Whitman County Memorial,Colfax,WA)
(Whittier,Whittier,AK)
(Wichita Mid-Continent,Wichita,KS)
(Wickenburg Municipal,Wickenburg,AZ)
(Wilbur,Wilbur,WA)
(Wilburton Municipal,Wilburton,OK)
(Wilder,De Smet,SD)
(Wiley Post,Oklahoma City,OK)
(Wiley Post Will Rogers Memorial,Barrow,AK)
(Wilkes County,North Wilkesboro,NC)
(Wilkes-Barre Wyoming Valley,Wilkes-Barre,PA)
(Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA)
(Will Rogers World,Oklahoma City,OK)
(William B Hartsfield-Atlanta Intl,Atlanta,GA)
(William H. Morse State,Bennington,VT)
(William L. Whitehurst ,Bolivar,TN)
(William M Tuck,South Boston,VA)
(William P Hobby,Houston,TX)
(William R Fairchild Intl,Port Angeles,WA)
(William R Pogue Municipal,Sand Springs,OK)
(Williams County,Bryan,OH)
(Williams Gateway,Phoenix,AZ)
(Williamsburg County,Kingstree,SC)
(Williamson County,Marion,IL)
(Williamson/Sodus,Williamson,NY)
(Williamsport-Lycoming Cty,Williamsport,PA)
(Williston Municipal,Williston,FL)
(Willow,Willow,AK)
(Willow Run,Detroit,MI)
(Willows-Glenn County,Willows,CA)
(Wilmington International,Wilmington,NC)
(Winchester Municipal,Winchester,TN)
(Winchester Regional,Winchester,VA)
(Winder,Winder,GA)
(Windham,Willimantic,CT)
(Windom Municipal,Windom,MN)
(Window Rock,Window Rock,AZ)
(Wings ,Ambler,PA)
(Winifred,Winifred,MT)
(Winkler County,Wink,TX)
(Winnemucca Municipal,Winnemucca,NV)
(Winnsboro Municipal,Winnsboro,LA)
(Winnsboro Municipal,Winnsboro,TX)
(Winona Muni-Max Conrad,Winona,MN)
(Winona-Montgomery County,Winona,MS)
(Winslow-Lindbergh Regional,Winslow,AZ)
(Winsted Municipal,Winsted,MN)
(Winston ,Snyder,TX)
(Winter Havens Gilbert,Winter Haven,FL)
(Winterset Madison County,Winterset,IA)
(Wiscasset,Wiscasset,ME)
(Wiseman,Wiseman,AK)
(Witham ,Stuart,FL)
(Wittman Regional,Oshkosh,WI)
(Wm T Piper Memorial,Lock Haven,PA)
(Wokal Field/Glasgow Intl,Glasgow,MT)
(Wood County,Bowling Green,OH)
(Wood Cty/Gill Robb Wilson ,Parkersburg,WV)
(Woodbine Muni ,Woodbine,NJ)
(Woodlake,Woodlake,CA)
(Woodruff County,Augusta,AR)
(Woodward ,Camden,SC)
(Worcester Regional,Worcester,MA)
(Worland Muni,Worland,WY)
(Worthington Municipal,Worthington,MN)
(Wrangell,Wrangell,AK)
(Wrangell SPB,Wrangell,AK)
(Wray Municipal,Wray,CO)
(Wrens Memorial,Wrens,GA)
(Wurtsboro-Sullivan Cty,Wurtsboro,NY)
(Wyandot County,Upper Sandusky,OH)
(Wynne Municipal,Wynne,AR)
(Yakima Air Terminal,Yakima,WA)
(Yakutat,Yakutat,AK)
(Yakutat SPB,Yakutat,AK)
(Yampa Valley,Hayden,CO)
(Yap International,NA,NA)
(Yazoo County,Yazoo City,MS)
(Yeager,Charleston,WV)
(Yellowstone,West Yellowstone,MT)
(Yellowstone Regional,Cody,WY)
(Yerington Municipal,Yerington,NV)
(Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA)
(York,York,PA)
(Youngstown-Warren Regional,Youngstown,OH)
(Yuba County,Marysville,CA)
(Yuma MCAS-Yuma International,Yuma,AZ)
(Yuma Municipal,Yuma,CO)
(Zamperini ,Torrance,CA)
(Zanesville Municipal,Zanesville,OH)
(Zelienople,Zelienople,PA)
(Zephyrhills Municipal,Zephyrhills,FL)
Program execution finished
Job with JobID 75d4cb4c473ffb4dbc1124ebe1973139 has finished.
Job Runtime: 660 ms
Accumulator Results: 
- 4ad0350723d75c52d35ce04d1fa1628e (java.util.ArrayList) [3375 elements]

